market_cap_rank,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply
91,tokenize-xchange,tkx,Tokenize Xchange,6.35,508125344,8624280,6.41,6.32,-0.23709,79995999.94518414,100000000.0,100000000.0
92,tether-gold,xaut,Tether Gold,1992.99,490663052,3329778,2004.94,1984.88,0.38293,246524.33,246524.33,
93,rocket-pool-eth,reth,Rocket Pool ETH,1940.99,490387198,600793,1973.3,1932.93,-1.58287,252706.153467048,252706.200284894,
94,zilliqa,zil,Zilliqa,0.0291365,477552239,120539727,0.0318752,0.02905929,-5.56741,16393563100.5225,17442569289.8725,21000000000.0
95,compound-ether,ceth,cETH,36.41,477102781,71.98,37.23,36.38,-2.20428,13104018.5076748,13104018.5076748,
96,trust-wallet-token,twt,Trust Wallet,1.14,474071968,14555115,1.18,1.13,-3.55155,416649900.0,1000000000.0,
97,kaspa,kas,Kaspa,0.0266592,473559418,7992548,0.02772412,0.02519784,5.76907,17982152269.0,17982303539.0,
98,gemini-dollar,gusd,Gemini Dollar,0.999412,465495989,311277,1.005,0.997473,-0.29367,466324515.23,466324515.23,
99,flare-networks,flr,Flare,0.03178364,465203708,4365043,0.03276658,0.031701,-1.42929,14637256193.4964,100897685403.121,
100,baby-doge-coin,babydoge,Baby Doge Coin,2.762e-09,425958686,7166086,2.879e-09,2.728e-09,-2.90241,1.561248560922935e+17,4.2e+17,4.2e+17
